A:LS:LC,A:LS:MC,A:MS:MC,A:HS:MC,A:LS:HC,A:HS:HC,A:MS:HC,A:MS:LC,A:HS:LC
80.95,155.18,181.3,163.99,309.175,374.575,327.29,71.725,76.905
80.73,157.225,177.915,165.065,319.52,366.695,325.055,72.55,76.04
80.395,158.475,180.995,163.25,313.76,370.6,330.515,72.41,78.385
81.525,157.91,183.295,164.415,313.725,371.785,335.67,71.32,77.575
81.26,160.455,180.485,161.14,308.78,369.305,320.635,72.505,77.515
80.645,160.685,180.24,163.345,314.17,373.695,328.525,71.97,76.67
80.315,158.095,181.53,168.815,317.945,372.78,329.79,70.775,79
81.96,159.345,178.935,160.975,309.83,372.96,328.84,72.395,78.035
82.005,159.45,181.7,163.545,308.755,371.28,331.055,70.565,77.405
80.565,153.48,182.92,164.42,306.79,369.28,330.435,70.72,77.02
81.555,159.06,182.225,163.23,306.485,371.145,320.115,69.795,77.24
79.265,159.275,178.66,161.91,307.56,369.055,327.62,71.795,78.13
79.65,158.88,180.005,166.295,311.18,366.585,337.24,70.925,76.98
81.09,164.3,180.045,165.19,303.76,368.655,334.955,72.19,76.64
80.105,159.475,180.745,163.615,312.425,370.5,333.91,71.62,78.225
82.555,158.6,180.9,163.645,313.525,367.285,335.7,71.14,79.215
80.97,161.675,177.1,163.33,322.48,368.475,333.345,70.365,77.45
81.365,158.725,178.23,162.48,298.855,366.47,323.61,71.54,77.475
80.125,156.24,177.85,168.58,308.885,369.945,330.495,70.795,78.225
78.48,159.345,179.755,165.87,312.245,364.68,330.215,71.75,78.26
79.565,158.785,183.36,164.17,316.66,367.23,331.02,70.92,77.535
81.745,159.05,181.31,162.86,305.74,368.98,336.15,72.455,77.25
79.63,158.52,183.225,165.16,316.465,364.32,330.17,73.08,77.1
79.595,156.09,180.01,165.025,314.525,363.355,327.825,69.84,76.65
84.16,158.435,181.72,164.945,314.065,371.295,329.295,70.335,76.995
80.01,158.695,180.72,164.34,308.11,368.17,331.265,70.48,76.295
79.09,159.325,184.135,163.83,305.57,373.48,323.755,71.23,76.605
80.815,162.025,180.845,164.375,312.495,363.525,331.945,70.465,76.345
79.025,158.065,178.64,161.74,299.66,359.04,333.445,71.9,76.39
79.63,159.58,179.225,162.725,303.485,365.01,328.48,73.71,78.02
79.53,154.785,179.815,167.375,311.445,372.145,327.96,71.975,77.32
79.255,159.5,179.88,161.35,300.225,365.4,326.405,70.52,78.475
79.225,159.41,182.08,164.36,302.65,366.8,331.855,70.46,77.165
79.81,155.67,182.06,164.1,309.275,367.73,331.07,69.485,77.92
81.12,153.17,182.87,165.455,316.11,363.43,326.52,72.11,76.41
80.47,159.575,176.8,160.685,310.905,370.57,331.095,69.92,78.26
82.17,158.645,180,163.17,301.89,364.415,329.385,71.315,77.455
78.88,157.72,179.2,164.525,302.61,367.94,331.76,71.35,77.035
79.335,154.195,183.68,162.41,312.05,370.26,336.185,71.125,77.805
79.79,153.6,179.295,163.565,305.495,365.775,333.395,69.195,77.99
80.395,157.58,181.2,161.455,306.195,369.605,326.38,69.28,76.93
78.805,157.465,181.51,165.94,303.3,364,331.2,70.155,78.515
78.345,153.445,183.475,165.55,307.59,374.845,326.685,69.875,76.88
79.975,153.55,177.29,162.535,306.51,363.975,335.09,68.6,76.375
78.97,154.045,177.2,164.33,300.92,373.465,328.65,70.48,76.205
79.905,152.355,178.725,163.535,303.265,367.84,330.605,70.91,77.6
79.6,155.26,177.05,161.825,312.1,365.43,331.52,71.675,77.365
80.94,155.61,178.845,160.89,306.27,371.855,326.05,70.33,75.99
78.58,153.98,181.36,163.97,312.25,372.23,330.9,72.26,75.745
78.995,156.395,180.405,164.33,308.295,366.975,332.075,70.935,77.98
80.255,156.615,180.86,161.965,305.205,370.14,325.025,72.37,77.975
79.52,154.725,179.86,163.2,315.33,358.055,327.97,72.94,78.165
79.405,153.82,178.05,162.445,310.66,369.95,332.56,72.565,77.74
80.19,155.055,178.595,164.68,314.125,367.785,327.665,69.69,76.275
80.075,151.655,179.285,164.355,306.5,367.765,334.35,72.19,76.57
80.625,151.935,179.25,161.155,305.655,359.255,333.13,70.91,76.265
80.39,154.835,180.145,162.44,306.605,364.46,338.045,70.79,76.905
79.31,156.005,180.175,166.525,302.32,368.98,328.37,71.4,78.605
79.63,155.885,181.47,165.8,300.37,365.315,331.465,71.03,77.28
79.405,154.49,178.795,164.39,301.46,368.755,330.985,70.795,77.415
78.51,153.185,175.15,163.94,302.5,363.655,323.795,72.355,77.09
79.97,153.46,180.355,162.91,303.685,359.745,322.66,70.655,75.945
79.995,154.505,174.3,158.795,307.05,367.235,330.99,71.81,75.685
78.825,151.545,178.235,164.88,306.925,362.385,325.805,70.235,77.455
79.225,153.7,181.14,164.17,301.225,370.55,328.11,71.715,75.925
79.43,154.335,178.38,165.375,302.56,367.835,327.01,71.45,78.08
78.17,156.46,179.025,166.34,305.74,375.055,325.365,70.795,76.06
78.535,154.14,176.775,162.345,303.445,362.82,334.03,71.855,76.94
79.115,154.485,178.29,161.855,308.385,368.93,324.75,70.455,77.635
79.685,149.76,178.83,166.385,314.185,368.585,325.44,70.165,75.99
79.02,152.055,182.545,162.295,307.155,358.575,330.705,72.195,76.27
79.735,155.045,177.565,166.785,299.495,363.88,324.975,70.23,78.66
81.24,157.27,178.965,162.9,304.86,366.73,330.47,71.82,78.345
78.825,156.29,176.895,161.5,305.025,364.745,324.13,69.845,78.29
78.765,155.605,181.355,163.735,306.575,363.37,325.04,68.99,78.715
79.74,155.04,179.815,163.905,300.04,364.07,326.795,70.36,75.545
77.91,155.75,180.175,163.885,301.985,366.395,329.49,67.905,76.555
77.81,152.695,179.875,159.665,304.42,361.6,325.82,70.945,76.37
76.48,154.465,175.15,161.595,313.11,370.23,331.325,69.69,77.685
78.805,149.76,176.54,162.895,314.765,365.985,328.26,71.32,76.15
77.99,153.4,177.165,164.19,303.615,364.985,329.46,69.17,76.61
78.56,150.86,177.815,161.145,309.515,373.175,325.985,70.185,77.53
79.285,151.115,179.09,163.57,309.165,368.64,328.565,72.545,76.475
81.17,153.23,178.505,162.015,308.28,367.275,326.07,71.26,75.215
77.39,154.5,178.945,158.23,304.87,360.685,327.56,71.21,75.98
79.125,158.905,181.81,162.385,307.745,375.29,325.25,73.125,77.07
78.965,152.825,179.805,164.84,301.825,367.545,327.23,71.265,76.03
78.795,159.165,178.255,163.22,309.91,367.01,324.1,72.585,76.08
79.16,152.825,177.385,163.7,303.29,366.3,325.135,71.645,76.185
78.58,155.35,175.41,161.17,299.485,368.64,323.01,71.58,75.82
78.26,150.58,176.07,161.925,308.595,365.565,329.025,72.185,76.18
77.79,150.535,179.995,162.67,301.41,367.7,321.72,70.105,76.075
78.7,150.725,179.91,161.16,305.035,369.465,319.32,71.005,75.075
78.67,154.055,176.525,164.375,301.05,364.625,319.95,70.065,76.52
79.875,149.225,182.075,162.955,313.265,358.315,329.505,69.86,77.175
77.15,149.735,176.83,161.995,304.295,361.1,323.95,71.83,76.42
76.91,149.865,179.24,162.59,304.57,363.39,323.87,71.285,77.35
78.615,151.98,175.24,164.275,298.305,364.365,324.705,70.335,76.885
77.065,154.62,177.705,161.905,306.275,372.145,323.99,70.285,77.105
79.135,154.495,176.785,161.985,309.82,365.855,321.27,71.295,77.805
78.49,157.825,179.665,163.21,303.145,360.015,326.095,72.145,76.855
78.11,153.96,175.55,165.12,304.685,365.39,330.71,70.945,75.72
76.42,152.855,177.77,162.525,299.705,370.795,323.87,70.52,75.71
77.315,152.29,173.83,159.675,297.675,370.275,327.625,69.62,76.505
78.04,150.69,178.77,161.97,305.59,359.895,329.275,70.68,75.18
78.495,152.585,172.825,159.815,303.165,361.62,321.375,70.75,75.775
76.385,150.51,176.125,162.12,304.595,363.595,325.01,70.66,76.43
78.135,153.295,176.63,163.975,300.46,368.38,325.385,69.125,75.39
78.01,151.315,178.425,158.675,298.655,366.735,322.175,72.59,75.6
77.27,149.76,179.275,162.93,301.63,361.845,323.115,69.63,75.785
78.515,152.605,178.55,167.86,300.745,365.31,327.05,70.135,75.605
77.935,155.415,178.395,161.76,306.21,368.79,328.41,69.445,76.86
79.345,155.72,176.31,159.96,301.05,356.375,326.315,70.495,77.73
77.44,155.385,176.84,160.305,316.125,360.245,317.6,69.045,77.135
77.665,152.875,176.625,161.205,312.345,365.2,317.355,71.705,76.87
77.36,149.605,175.775,160.375,302.065,363.085,321.79,69.515,77.355
77.37,156.02,176.175,161.94,306.445,358.725,323.08,70.645,75.3
76.67,149.705,174.97,159.485,304.43,365.165,326.66,70.48,76.71
77.255,150.065,176.235,158.42,305.81,366.19,325.39,69.5,77.1
77.98,150.275,178.445,162.52,305.425,361.92,318.4,69.14,79.485
76.03,151.95,176.58,164.855,301.345,357.4,324.165,70.1,77.61
76.275,149.23,174.46,162.785,309.365,373.685,326.795,70.295,74.17
75.985,150.97,174.64,162.745,302.845,361.725,322.61,69.79,75.625
78.41,151.605,178.905,160.375,307.415,368.36,325.095,69.39,75.93
76.87,152.025,176.355,163.6,307.345,368.825,323.045,71.535,76.22
78.015,155.065,176.215,161.44,299.865,361.92,327.24,70.365,77.32
