SG:HS:LC,SG:LS:LC,SG:MS:LC,SG:LS:MC,SG:MS:MC,SG:HS:MC,SG:LS:HC,SG:MS:HC,SG:HS:HC,SG:VHS:LC,SG:VHS:MC,SG:VHS:HC
60.825,62.07,62.705,131.16,137.925,134.655,269.55,279.845,270.725,59.145,140.885,279.23
60.32,61.9,61.365,133.57,137.075,135.53,274.06,272.915,272.63,59.57,137.935,275.005
60.42,62.23,62.005,134.57,138.745,135.785,273.855,276.835,267.775,59.19,139.05,274.225
61.64,60.675,61.555,130.3,138.935,137.845,277.47,279.245,272.35,59.685,139.99,276.835
61.735,61.05,60.395,132.96,139.26,134.46,275.07,276.53,270.845,60.705,138.28,278.085
61.02,61.67,60.565,133.04,142.33,134.465,273.57,271.045,273.025,59.75,141.16,269.55
60.205,62.215,62.635,131.245,140.07,137.14,274.76,272.665,270.91,60.685,140,274.685
59.725,62,62.355,130.93,139.32,139.295,271.655,277.185,274.845,60.645,138.23,274.265
60.13,61.53,61.665,132.215,138.625,133.76,267.76,273.145,267.625,60.5,140.715,272.075
60.865,60.5,61.915,127.47,137.99,138.98,272.275,274.45,276.65,59.21,138.165,271.865
61.375,60.425,62.33,129.095,135.16,134.245,268.79,280.92,269.03,59.285,140.87,275.64
62.16,60.815,62.425,129.195,137.48,134.02,269.38,279.39,272.505,59.99,142.885,274.605
60.135,60.735,62.065,131.29,137.54,135.995,276.86,271.4,269.62,60.08,139.26,272.05
59.525,60.275,60.29,132.07,140.64,139.81,267.22,272.03,270.485,59.835,136.19,273.005
61.02,60.255,60.53,129.855,136.155,134.185,270.725,273.895,270.915,58.27,138.47,274.115
60.265,60.755,60.565,129.44,138.76,132.105,269.09,271.55,269.265,59.58,136.135,270.8
60.685,61.805,61.225,131.51,135.295,134.215,266,270.895,272.52,59.185,138.42,269.2
61.195,59.755,60.7,129.27,135.37,137.535,272.02,269.32,264.635,59.05,137.06,280.07
60.245,60.14,60.26,131,137.285,130.61,272.37,266.935,273.16,59.57,136.785,274.15
59.805,60.155,59.755,127.21,135.97,131.885,276.61,276.075,266.375,59.485,133.67,273.525
60.125,60.81,62.125,129.645,134.885,137.91,272.935,271.605,271.53,59.945,136.985,280.875
60.47,59.54,61.895,129.3,134.85,135.095,271.235,268.725,274.005,58.765,135.74,272.96
58.495,60.595,59.525,131.025,136.775,135.75,267.7,268.085,266.535,58.9,138.01,273.37
58.67,61.205,60.715,132.46,132.81,130.255,263.705,270.945,272.64,59.64,139.025,272.485
58.285,59.505,61.065,129.34,130.6,130.795,270.625,268.415,271.65,58.385,137.355,271.97
60.67,60.79,59.62,126.55,130.885,132.485,265.61,271.53,271.66,58.945,136.17,271.585
60.66,60.445,61.19,129.885,139.075,131.955,265.81,275.58,263.67,58.71,138.175,267.925
60.575,59.72,58.75,127.285,136.47,135.325,269.815,269.28,266.815,59.515,136.47,266.445
58.59,59.945,59.875,132.295,135.29,133.19,269.84,269.305,264.4,59.015,135.45,272.11
59.63,59.55,60.495,126.745,135.355,129.95,269.165,272.475,268.07,59.13,135.625,268.065
59.135,59.07,58.97,125.62,133.705,133.98,267.73,273.205,267.195,58.39,135.45,268.105
59.09,59.725,60.55,131.075,139.455,132.575,266.475,267.655,267.315,60.485,135.21,267.315
58.805,58.785,59.615,130.195,135.775,131.92,263.475,271.075,264.205,58.48,134.65,267.11
58.835,59.72,57.815,130.935,133.33,133.29,268.93,267.905,260.18,59.765,133.125,267.925
59.17,58.5,59.235,132.775,134.535,132.81,266.325,266.685,259.73,57.71,134.45,267.465
60.32,59.935,60.42,127.98,132.09,133.46,268.925,276.575,267.54,59.57,137.86,271.48
58.905,59.025,60.87,126.92,138.38,131.335,265.39,270.955,268.15,58.275,139.71,267.98
60.72,59.125,59.185,130.27,136.705,129.8,267.885,274.92,265.69,58.475,135.615,269.025
59.17,57.28,59.935,127.795,134.34,131.285,266.825,267.85,266.96,58.265,134.71,267.23
59.08,59.62,59.61,129.675,138.215,134.045,268.94,267.005,261.99,57.205,134.515,267.715
59.655,58.045,59.005,126.26,132.22,132.39,265.01,269.95,262.915,57.95,135.49,270.6
60.58,58.71,58.11,128.085,133.865,131.175,267.24,274.435,263.895,58.475,136.165,267.905
59.345,58.66,60.035,125.435,137.575,133.325,261.245,264.92,266.645,58.915,136.705,268.275
58.485,59.03,60.385,129.245,133.835,135.905,263.615,268.03,260.32,58.945,135.715,267.865
58.335,57.635,59.14,125.155,133.665,133.565,265.21,262.8,263.74,58.395,135.135,270.005
57.985,59.32,58.835,125.235,131.895,136.265,259.89,265.265,261.64,58.585,135.395,264.615
57.995,58.8,58.805,125.83,134.825,130.34,257.905,265.95,262.825,57.715,134.21,266.115
57.485,57.785,59.89,123.94,133.305,131.24,261.78,267.37,265.77,58.13,130.855,267.75
57.645,60.37,59.76,126.415,133.395,134.565,261.655,270.34,262.49,59.185,132.265,264.745
57.98,58.095,58.245,125.46,134.34,129.27,276.67,264.365,261.9,57.04,133.46,270.54
59.005,58.89,59.09,126.31,133.325,128.835,266.415,265.385,262.83,58.24,133.66,270.1
59.095,57.56,58.985,128.09,131.62,131.18,265.565,271.295,266.1,56.65,132.28,267.57
58.555,58.355,59.115,126.98,133.575,129.695,268.2,267.205,254.665,57.465,135.385,259.135
59.08,58.7,58.29,127.055,130.115,128.665,271.255,270.8,256.37,58.72,133.2,265.61
58.83,57.625,60.12,125.215,132.99,131.265,266.42,258.695,260.15,58.075,135.935,264.035
57.43,58.17,59.77,127.94,131.755,129.025,259.975,260.785,255.65,57.065,132.06,261.36
57.055,57.635,58.21,124.375,133.175,128.79,264.285,265.11,257.275,57.99,131.645,267.32
57.445,58.305,58.965,127.28,132,127.135,258.81,267.99,260.01,57.84,133.235,265.47
56.485,57.85,58.27,121.57,133.135,131.845,260.815,265.945,263.535,58.97,135.375,262.71
57.945,57.725,58.79,126.225,133.41,130.87,271.39,263.545,260.25,58.325,132.32,268.235
58.695,58.38,59.26,125.405,133.605,131.125,269.03,257.855,253.965,57.94,132.385,267.685
58.165,58.325,57.65,123.43,128.605,130.95,261.875,261.74,258.945,56.695,134.63,260.45
56.985,59.005,56.265,125.235,133.025,129.01,266.555,262.405,261.36,58.125,132.97,261.67
57.395,57.885,58.96,124.695,131.845,126.215,256.805,262.405,264.135,58.135,133.805,264.115
56.95,58.23,58.8,127.415,134.38,126.86,261.795,258.955,259.085,57.32,134.195,260.01
57.08,59.405,58.94,125.785,135.265,132.425,261.625,260.075,258.975,56.935,133.8,259.895
57.005,58.195,56.585,124.41,130.01,130.01,261.225,269.54,258.44,57.445,133.595,260.595
57.345,58.825,56.915,123.12,128.88,129.87,253.84,261.45,261.73,57.175,136.04,258.59
57.265,57.065,56.4,127.605,131.09,131.015,256.72,259.21,265.51,56.78,131.625,258.79
55.92,57.78,57.96,124.79,126.58,127.815,259.605,265.925,263.115,58.52,133.185,259.595
57.49,57.52,57.24,123.485,129.135,129.91,256.16,261.18,259.035,56.36,131.41,263.365
56.255,57.07,57.055,121.155,133.635,126.515,261.72,264.36,258.82,56.52,132.86,257.73
