G:LS:LC,G:MS:LC,G:HS:LC,G:LS:MC,G:MS:MC,G:HS:MC,G:LS:HC,G:MS:HC,G:VHS:HC*,G:VHS:LC,G:VHS:MC,G:VHS:HC
53.92128366,51.2121166,54.615,127.88,120.885,108.985,254.53,237.96,244.45,53.745,123.01,237.42
54.98756245,52.93196398,55.145,129.13,121.13,105.375,252.52,240.715,240.66,55.41,124.825,232.845
55.24986484,51.54388713,55.78,125.47,116.48,105.59,253.715,238.635,241.895,53.81,123.09,229.55
54.10310029,50.99738955,55.565,128.25,120.23,104.95,256.555,237.71,245.42,53.625,123.385,232.54
54.72757893,50.67142207,54.3,125.48,119.245,106.27,251.93,238.03,247.415,55.14,122.265,233.875
55.00432659,51.00338588,55,125.345,119.975,106.505,248.225,237.04,242.375,54.41,121.11,238.34
54.53452597,51.95368034,53.33,126.77,119.99,104.915,249.02,234.6,240.48,55.515,119.56,230.47
54.39956056,50.37164138,54.54,127.52,115.765,105.46,248.43,237.95,238.055,53.81,121.945,232.41
53.66929334,50.35533285,55.16,124.295,114.39,106.065,247.25,235.75,244.595,54.285,120.94,232.635
53.18007492,50.98279783,55.945,125.95,117.45,103.485,248.41,235.465,237.215,53.965,122.465,230.79
53.95141316,49.7586497,53.975,129.825,117.86,106.385,247.07,230.38,235.3,53.15,120.21,231.8
53.11688057,50.41365962,55.045,124.48,119.66,105.45,248.015,234.485,239.935,53.38,122.52,231.925
52.87910856,50.20785902,54.215,128.92,119.63,105.29,253.765,231.705,234.675,53.33,122.335,229.02
53.83649082,50.08121771,54.66,123.2,116.82,104.285,257.615,237.8,236.82,53.805,123.725,236.065
55.56428866,49.67190393,54.615,124.03,116.31,104.175,248.135,233.88,238.285,52.79,123.92,233.345
52.56000581,50.20070158,53.755,120.61,117.17,102.04,243.065,229.655,235.565,53.87,119.885,225.19
53.90490553,49.39858261,52.555,123.215,118.215,102.16,247.73,229.295,238.72,53.04,119.435,224.53
52.91262008,50.47242444,54.305,126.285,119.295,102.705,245.57,231.8,236.87,53.395,121.115,229
52.4152569,49.17954258,53.005,122.78,119.185,103.95,248.545,234.935,231.72,52.835,122.69,232.935
53.10980066,48.79262826,53.5,125.09,115.425,104.09,246.9,231.035,237.165,51.71,119.395,233.925
52.30167763,48.75916888,54.39,118.965,113.71,103.64,247.39,231.855,236.6,52.395,118.07,227.725
